name,ring,quadrant,isNew,description
Microservice Architecture,1,Arkitektur,FALSE,
Event Driven Architecture,2,Arkitektur,FALSE,There's absolutely nothing that is synchronous in this world
Observability & monitoring,2,Arkitektur,FALSE,
Data as first class citizen,3,Arkitektur,FALSE,
Serverless Architecture,1,Arkitektur,FALSE,
Domain Driven Design,1,Arkitektur,FALSE,
OpenAPI,1,Backend,FALSE,Api Documentation
Postgres,1,Backend,FALSE,sql database
Micronaut,1,Backend,FALSE,webframework
OAuth og OpenID Connect,1,Backend,FALSE,Sikkerhet
REST API Level 1,1,Backend,FALSE,Resources
REST API Level 2,1,Backend,FALSE,Verbs
NoSQL,1,Backend,FALSE,"Databaser som feks, DynamoDB, MongoDB, Redis, Elasticsearch, Neo4j."
Docker,1,Backend,FALSE,
Java (ny),1,Backend,FALSE,Nyere Java v 11 og oppover.
Kotlin ,1,Backend,FALSE,
AWS ECS Fargate,1,Backend,FALSE,Serverless container service
Spring Boot,1,Backend,FALSE,webframework - Både Spring Boot 2 og 3.
Serverless Functions,1,Backend,FALSE,"AWS Lambda, etc."
JUnit 5,1,Backend,FALSE,Test Framework
Mockk,1,Backend,FALSE,Test Framework
Python,1,Plattform,FALSE,Python er et språk som brukes overalt i AWS of ellers
NodeJS,1,Backend,FALSE,Runtime
NodeJS,1,Frontend,FALSE,Runtime
AWS,1,Plattform,FALSE,
HashiCorp Terraform,1,Plattform,FALSE,infrastructure as code.
"Continuous Integration, Continuous Deployment",1,Plattform,FALSE,"Code Build, Code Deploy, Code pipeline, CircleCI, StepFunction"
REST API Level 3,2,Backend,FALSE,Hypermedia
Mysql,2,Backend,FALSE,sql database
Redis,2,Backend,FALSE,in-memory cache database
Quarkus,2,Backend,FALSE,webframework
NewSQL,2,Backend,FALSE,Distribuerte RDBMS SaaS databaser.
GraphQL,2,Backend,FALSE,
Graph Databaser,2,Backend,FALSE,"Neptune, neo4j."
Python,2,Backend,FALSE,Python er et språk som brukes overalt i AWS of ellers
SQL DB,2,Backend,FALSE,RDS
API Gateway,2,Backend,FALSE,
Mockito,2,Backend,FALSE,Test Framework
AssertJ,2,Backend,FALSE,Test Framework
Kotest,2,Backend,FALSE,Test Framework
.net 6+,2,Backend,FALSE,Language
Feature Toggles,2,Frontend,FALSE,
Feature Toggles,2,Backend,FALSE,
Aurora,2,Backend,FALSE,Serverless Postgresql DB
Kubernetes,2,Plattform,FALSE,Cloud agnostic container orchestration platform.
Golang,2,Plattform,FALSE,
Azure,2,Plattform,FALSE,
Edge Computing,3,Backend,FALSE,
Edge Computing,3,Frontend ,FALSE,
HashiCorp Nomad,3,Backend,FALSE,Container orchestration
AI driven discovery,3,Arkitektur,FALSE,AI kan ofte hjelpe med trege og slitsomme oppgaver som å søke etter og lese gjennom masse dokumentasjon. 
Deno,3,Backend,FALSE,Runtime
